,Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,Fuel_Type,Transmission,Engine,VIN,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type,Consumer_Rating_binned
70,2022,Honda,Pilot TrailSport,New,46105.0,4.6,1874,Crystal Black Pearl,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H8XNB067454,NB067454,3042.0,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer,4
71,2022,Honda,CR-V EX,New,32055.0,3.9,161,CRYSTAL BLACK,Black,All-wheel Drive,Gasoline,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,7FARW2H59NE056453,62186,10.0,4.9,4.8,4.7,4.8,4.7,4.9,WI,Dealer,3
73,2023,Honda,CR-V Hybrid Sport,New,34090.0,4.4,3,Platinum,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H55PH701273,H5683,12.0,5.0,3.0,4.0,4.0,5.0,5.0,KY,Dealer,4
78,2022,Honda,Pilot Sport,New,40770.0,4.6,245,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H37NB103959,22H640,2.0,5.0,5.0,5.0,5.0,5.0,5.0,MI,Dealer,4
79,2022,Honda,Passport Elite,New,50125.0,5.0,5663,Black,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H07NB016984,B016984,1.0,5.0,5.0,4.9,5.0,4.9,5.0,KY,Dealer,5
80,2022,Honda,Pilot Sport,New,40270.0,4.9,826,Platinum White,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H31NB104296,NB104296,4.0,5.0,5.0,5.0,5.0,5.0,5.0,MI,Dealer,4
81,2022,Honda,Pilot Sport,New,40270.0,4.9,826,Platinum White,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H36NB104665,NB104665,4.0,5.0,5.0,5.0,5.0,5.0,5.0,MI,Dealer,4
82,2022,Honda,Accord Sport 2.0T,New,34755.0,5.0,38,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F31NA019607,52104,3.0,5.0,5.0,5.0,5.0,5.0,5.0,IN,Dealer,5
83,2022,Honda,Accord Sport 1.5T,New,30470.0,5.0,38,Sonic Gray Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F38NA099448,52045,255.0,5.0,5.0,5.0,5.0,5.0,5.0,IN,Dealer,5
84,2023,Honda,CR-V Hybrid Sport Touring,New,40240.0,4.4,38,Platinum White Pearl,Gray,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H94PE000459,53069,25.0,5.0,3.0,4.0,4.0,5.0,5.0,IN,Dealer,4
85,2022,Honda,Accord Sport SE,New,31960.0,5.0,38,Still Night Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F48NA118606,52097,6.0,5.0,5.0,5.0,5.0,5.0,5.0,IN,Dealer,5
86,2023,Honda,CR-V Hybrid Sport Touring,New,40240.0,5.0,4402,Urban Gray Pearl,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H9XPH800356,9760,176.0,5.0,3.0,4.0,4.0,5.0,5.0,GA,Dealer,5
87,2022,Honda,Passport EX-L,New,42053.0,4.5,1732,Crystal Black Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H54NB026819,496329,12.0,5.0,5.0,4.9,5.0,4.9,5.0,GA,Dealer,4
88,2023,Honda,CR-V Hybrid Sport,New,35745.0,4.5,1205,Meteorite Gray Metallic,–,AWD,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H51PE005941,PE005941,5.0,5.0,3.0,4.0,4.0,5.0,5.0,GA,Dealer,4
92,2023,Honda,Odyssey EX-L,New,41486.0,4.6,1100,Gray,Gray,Front-wheel Drive,Gasoline,–,3.5L V6 24V GDI SOHC,5FNRL6H68PB034306,HA24943,4.0,5.0,5.0,4.0,4.0,4.0,5.0,MI,Dealer,4
93,2022,Honda,Ridgeline RTL-E,New,45760.0,5.0,2546,Platinum White Pearl,Beige,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F72NB039434,NB039434,23.0,5.0,4.9,4.9,4.3,4.7,5.0,GA,Dealer,5
94,2022,Honda,Accord Hybrid Sport,New,32560.0,5.0,2546,Platinum White Pearl,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F22NA043282,NA043282,20.0,4.9,5.0,5.0,4.9,4.9,5.0,GA,Dealer,5
95,2022,Honda,Accord Hybrid Sport,New,32560.0,5.0,2546,Platinum White Pearl,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F20NA041191,NA041191,20.0,4.9,5.0,5.0,4.9,4.9,5.0,GA,Dealer,5
96,2022,Honda,Ridgeline RTL,New,42810.0,5.0,2546,Pacific Pewter Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F53NB038176,NB038176,23.0,5.0,4.9,4.9,4.3,4.7,5.0,GA,Dealer,5
97,2023,Honda,Odyssey Sport,New,43050.0,4.4,306,Sonic Gray Pearl,Blk Lth,Front-wheel Drive,Gasoline,10-Speed Automatic,V6 Cylinder Engine,5FNRL6H78PB027428,234004,0.0,5.0,5.0,4.0,4.0,4.0,5.0,MI,Dealer,4
98,2022,Honda,Pilot Special Edition,New,44205.0,5.0,306,Crystal Black Pearl,Blk Lth,All-wheel Drive,Gasoline,9-Speed Automatic,V6 Cylinder Engine,5FNYF6H22NB091839,225045,6.0,5.0,5.0,5.0,5.0,5.0,5.0,MI,Dealer,5
99,2023,Honda,Odyssey Sport,New,43050.0,4.4,306,Platinum White Pearl,Blk Lth,Front-wheel Drive,Gasoline,10-Speed Automatic,V6 Cylinder Engine,5FNRL6H78PB023332,234003,0.0,5.0,5.0,4.0,4.0,4.0,5.0,MI,Dealer,4
100,2023,Honda,Ridgeline RTL,New,43075.0,4.8,9,Crystal Black Pearl,–,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F57PB005121,00830090,7.0,5.0,4.8,4.8,4.2,5.0,5.0,CA,Dealer,4
101,2022,Honda,Pilot TrailSport,New,46105.0,4.3,471,Crystal Black Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H80NB095165,NB095165,7.0,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer,4
102,2022,Honda,Pilot Touring 7-Passenger,New,46465.0,5.0,12,Modern Steel Metallic,Black,Front-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H62NB035655,5735655,9.0,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer,5
104,2023,Honda,HR-V LX,New,24895.0,4.6,23,Gray,–,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,3CZRZ1H32PM713954,PM713954,80.0,4.0,5.0,4.0,5.0,5.0,5.0,CA,Dealer,4
106,2023,Honda,Ridgeline RTL-E,New,45920.0,4.8,6,Platinum White Pearl,Beige,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F70PB015829,X7015,5.0,5.0,4.8,4.8,4.2,5.0,5.0,NE,Dealer,4
107,2023,Honda,CR-V Hybrid Sport Touring,New,39845.0,4.8,2700,Meteorite Gray Metallic,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H91PH800231,H05130,16.0,5.0,3.0,4.0,4.0,5.0,5.0,TX,Dealer,4
108,2023,Honda,CR-V EX-L,New,36900.0,4.7,178,Still Night Pearl,Black,All-wheel Drive,Gasoline,continuously variable automatic,4 Cylinder Engine,2HKRS4H76PH400569,23-0048,12.0,5.0,5.0,5.0,4.0,4.0,5.0,MO,Dealer,4
109,2022,Honda,Pilot EX-L,New,42950.0,4.5,1627,Crystal Black Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H50NB094491,NB094491,7.0,5.0,5.0,5.0,5.0,5.0,5.0,IA,Dealer,4
110,2023,Honda,CR-V EX-L,New,36983.0,4.5,1627,Lunar Silver Metallic,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H71PH401354,PH401354,10.0,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer,4
111,2022,Honda,Pilot Sport,New,39950.0,4.5,1627,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H32NB096368,NB096368,15.0,5.0,5.0,5.0,5.0,5.0,5.0,IA,Dealer,4
115,2022,Honda,Pilot TrailSport,New,46500.0,5.0,14,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FNYF6H82NB102228,H22662,12.0,5.0,5.0,5.0,5.0,5.0,5.0,WI,Dealer,5
116,2022,Honda,Pilot Special Edition,New,44600.0,4.8,1077,Platinum White Pearl,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H21NB105276,NB105276,5.0,5.0,5.0,5.0,5.0,5.0,5.0,TN,Dealer,4
117,2022,Honda,Pilot Sport,New,37551.0,5.0,1516,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H37NB038203,22833,5.0,5.0,5.0,5.0,5.0,5.0,5.0,LA,Dealer,5
120,2023,Honda,CR-V EX-L,New,37494.0,5.0,1349,Platinum White Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H72PH401718,J30040,5.0,5.0,5.0,5.0,4.0,4.0,5.0,IL,Dealer,5
121,2022,Honda,Pilot EX-L,New,43605.0,4.6,1874,Lunar Silver Metallic,–,AWD,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H53NB096722,NB096722,10.0,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer,4
122,2023,Honda,HR-V LX,New,24895.0,4.7,739,Modern Steel Metallic,Black,FWD,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,3CZRZ1H37PM710340,C17613,1.0,4.0,5.0,4.0,5.0,5.0,5.0,IL,Dealer,4
124,2022,Honda,Pilot Special Edition,New,43600.0,4.6,245,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H29NB105428,22H645,5.0,5.0,5.0,5.0,5.0,5.0,5.0,MI,Dealer,4
